Country_Region,2022/02/01,2022/02/02,2022/02/03,2022/02/04,2022/02/05,2022/02/06,2022/02/07,2022/02/08,2022/02/09,2022/02/10,2022/02/11,2022/02/12,2022/02/13,2022/02/14,2022/02/15,2022/02/16,2022/02/17,2022/02/18,2022/02/19,2022/02/20,2022/02/21,2022/02/22,2022/02/23,2022/02/24,2022/02/25,2022/02/26,2022/02/27,2022/02/28
Timor-Leste,20105,20136,20177,20240,20328,20403,20501,20748,20942,21158,21401,21556,21631,21748,21877,22047,22138,22261,22314,22358,22406,22485,22485,22584,22584,22649,22668,22693
Togo,36509,36538,36550,36550,36557,36593,36605,36612,36612,36620,36630,36634,36650,36660,36693,36704,36710,36710,36724,36738,36747,36755,36764,36777,36782,36798,36798,36798
Tonga,1,5,6,7,7,7,9,15,35,66,73,73,141,141,141,141,210,234,234,234,234,254,289,289,355,355,355,355
Trinidad and Tobago,112019,112679,113317,113898,114765,115270,115843,116769,117525,118263,119226,120003,120385,120895,121271,121271,122093,122717,123157,123721,124076,124488,125210,125864,126502,126934,127404,127767
Tunisia,917814,917814,930090,934712,940223,944175,945453,950575,954726,958549,961877,964957,967052,967052,968393,971460,974214,979612,979612,986336,987256,988329,990483,992574,994543,995713,997754,998230
Turkey,11722483,11833165,11940695,12051852,12150567,12238501,12335015,12446111,12554674,12653276,12748341,12834534,12908321,12984953,13079683,13173859,13266265,13353676,13434130,13504485,13589511,13675581,13762181,13841889,13913625,13975389,14025181,14089456
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US,75570659,75897756,76171380,76526119,76614539,76699561,77042151,77255967,77443119,77613484,77821654,77874448,77933644,78100844,78211227,78325034,78426302,78570189,78602347,78625889,78705534,78794717,78878763,78945291,79018933,79066775,79085308,79182072
Uganda,161929,162007,162049,162136,162203,162273,162375,162442,162510,162559,162639,162639,162696,162822,162869,162932,162932,162973,163004,163032,163116,163138,163152,163179,163231,163231,163250,163307
Ukraine,4287117,4323009,4363754,4408776,4452612,4481918,4506669,4542568,4582137,4625614,4668581,4708604,4735258,4753922,4785138,4818112,4853339,4890332,4923680,4943428,4959461,4986161,5012980,5040518,5052182,5057946,5062889,5066370
United Arab Emirates,847142,849305,851537,853651,855642,857657,859361,860976,862514,864102,865576,866971,868237,869428,870358,871315,872210,873092,873882,874607,875258,875884,876624,877406,878102,878746,879368,879973
United Kingdom,17543963,17631560,17727264,17809884,17870485,17924207,17988154,18054899,18122879,18287353,18346213,18392169,18433372,18475111,18521452,18575733,18628702,18676361,18715582,18746592,18785333,18826968,18867585,18906546,18938546,18938546,18938546,19021076
Uruguay,679878,690496,700511,710874,719948,726042,733010,741454,749554,758366,765960,772757,777490,782556,788676,795316,800833,808012,812367,815704,819379,823784,827814,831950,835346,838341,840511,842462
Uzbekistan,224023,225110,226036,226997,227909,228796,229628,230401,231179,231871,232496,233000,233439,233761,234063,234359,234600,234872,235063,235267,235427,235602,235740,235880,236036,236174,236299,236405
Vanuatu,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,11,11,15,15,15,18,18,18,18,18
Venezuela,485974,487775,491016,492678,494835,496283,496283,497977,499537,501586,501586,503162,504719,505947,506977,508042,508968,509947,510553,510553,511073,511772,512560,512947,513427,514315,514315,515124
Vietnam,2286750,2295494,2304095,2315689,2327859,2341971,2358786,2380695,2404651,2430683,2457170,2484481,2510860,2540273,2572087,2606824,2643024,2685463,2740293,2787493,2834373,2890522,2972378,3041506,3120301,3219177,3321005,3443485
West Bank and Gaza,535160,546176,556550,556550,556550,556550,578424,586355,594037,600128,600128,600128,600128,613846,618527,622175,625028,627956,627956,627956,633684,636055,638172,640214,640214,640214,640214,645947
Winter Olympics 2022,272,304,359,380,425,435,459,465,465,465,490,498,501,501,505,507,507,508,508,509,509,509,510,510,514,514,518,521
Yemen,11061,11113,11145,11145,11149,11166,11266,11553,11579,11604,11659,11664,11671,11679,11699,11707,11718,11731,11731,11736,11741,11746,11751,11751,11759,11760,11769,11771
Zambia,305557,305959,306347,306777,306777,307206,307317,307636,308050,308556,309013,309293,309502,309579,309870,310155,310474,310764,311016,311194,311264,311592,311888,312118,312374,312611,312707,312750
Zimbabwe,229851,230012,230170,230170,230402,230402,230402,230603,230740,231040,231214,231299,231381,231603,231603,232213,232598,233030,233224,233352,233571,233980,234589,234967,235467,235803,235803,236380
