Country_Region,2022/10/01,2022/10/02,2022/10/03,2022/10/04,2022/10/05,2022/10/06,2022/10/07,2022/10/08,2022/10/09,2022/10/10,2022/10/11,2022/10/12,2022/10/13,2022/10/14,2022/10/15,2022/10/16,2022/10/17,2022/10/18,2022/10/19,2022/10/20,2022/10/21,2022/10/22,2022/10/23,2022/10/24,2022/10/25,2022/10/26,2022/10/27,2022/10/28,2022/10/29,2022/10/30,2022/10/31
Madagascar,66676,66684,66684,66684,66684,66684,66684,66684,66687,66687,66687,66687,66687,66687,66687,66687,66687,66687,66687,66687,66687,66687,66706,66706,66706,66706,66706,66706,66706,66749,66749
Malawi,88028,88029,88030,88034,88035,88039,88041,88045,88046,88047,88050,88055,88055,88057,88057,88057,88057,88061,88064,88065,88065,88073,88073,88073,88073,88073,88073,88073,88073,88073,88073
Malaysia,4845757,4845649,4845691,4846592,4848314,4850108,4851896,4853523,4854976,4856217,4857508,4859136,4861226,4863457,4865480,4867192,4868402,4870275,4872570,4875131,4877387,4880005,4882059,4883796,4885539,4887675,4890437,4893733,4896922,4900051,4902964
Maldives,185042,185042,185082,185082,185082,185082,185082,185082,185082,185125,185125,185125,185125,185125,185125,185125,185194,185194,185194,185194,185194,185194,185194,185280,185280,185280,185280,185280,185280,185280,185364
Mali,32641,32683,32683,32686,32689,32692,32695,32697,32697,32697,32697,32698,32701,32704,32706,32709,32711,32711,32712,32714,32715,32715,32715,32719,32722,32722,32723,32724,32731,32731,32733
Malta,114710,114719,114730,114757,114777,114805,114822,114839,114866,114887,114910,114918,114941,114963,114985,115013,115036,115072,115103,115136,115159,115176,115197,115215,115243,115271,115294,115307,115323,115338,115349
Marshall Islands,15305,15305,15305,15305,15305,15305,15305,15305,15305,15305,15375,15375,15375,15375,15375,15375,15375,15389,15389,15389,15389,15389,15389,15389,15389,15389,15389,15389,15389,15389,15389
Mauritania,62823,62826,62829,62840,62847,62869,62894,62908,62920,62920,62960,62984,63041,63045,63084,63110,63110,63163,63194,63223,63250,63250,63280,63293,63304,63321,63333,63333,63349,63355,63364
Mauritius,262648,262648,262648,262648,262648,262648,262648,262648,262648,263177,263177,263177,263177,263177,263177,263177,263780,263780,263780,263780,263780,263780,263780,264465,264465,264465,264465,264465,264465,264465,265301
Mexico,7090330,7090330,7090965,7090965,7090965,7090965,7095696,7095696,7097264,7097264,7098525,7099723,7100886,7100886,7102947,7102947,7103339,7103339,7103339,7105565,7106018,7106018,7106865,7106865,7107987,7108686,7108686,7108686,7108686,7111104,7110993
Micronesia,10814,10814,14466,14466,15994,18857,20833,20833,20833,20833,21673,21673,21673,21815,21815,21815,21815,21815,21815,21815,21815,21815,21815,21815,21815,22203,22203,22203,22203,22203,22203
Moldova,589437,589437,589437,590752,590811,590811,590811,590811,590811,590811,591853,591912,591912,591912,591912,591912,591912,591912,592535,592535,592535,592535,592535,592535,593246,593246,593246,593246,593246,593246,593246
Monaco,14622,14622,14622,14666,14677,14689,14708,14717,14717,14717,14764,14774,14782,14782,14790,14790,14808,14808,14852,14873,14885,14885,14885,14885,14913,14926,14936,14936,14948,14948,14963
