Country_Region,2022/01/01,2022/01/02,2022/01/03,2022/01/04,2022/01/05,2022/01/06,2022/01/07,2022/01/08,2022/01/09,2022/01/10,2022/01/11,2022/01/12,2022/01/13,2022/01/14,2022/01/15,2022/01/16,2022/01/17,2022/01/18,2022/01/19,2022/01/20,2022/01/21,2022/01/22,2022/01/23,2022/01/24,2022/01/25,2022/01/26,2022/01/27,2022/01/28,2022/01/29,2022/01/30,2022/01/31
Gambia,10170,10170,10170,10376,10376,10792,10792,10792,10792,10792,11122,11122,11122,11122,11122,11122,11572,11572,11572,11572,11572,11572,11572,11572,11572,11572,11572,11572,11842,11842,11842
Georgia,936844,937640,938583,942173,945609,949176,953410,956032,959874,962827,968313,973909,979235,984802,990183,995687,999343,1006864,1015592,1021943,1030710,1041749,1051445,1059392,1075154,1092684,1110168,1127234,1145508,1162773,1175923
Germany,7115992,7125701,7129500,7261721,7323628,7390802,7443452,7439053,7436030,7559350,7610144,7695384,7774502,7865872,7862125,7856657,8029725,8109875,8227661,8361907,8499934,8495244,8488721,8782477,8917941,9114092,9287394,9472431,9466683,9459561,9862791
Ghana,143997,145052,146119,147203,148079,148079,148079,149367,150874,152243,152243,152729,152729,152729,153514,153514,153514,154190,154190,154891,154891,154891,155496,155665,155665,156272,156392,156515,156690,156805,156920
Greece,1240862,1258495,1294741,1344923,1388309,1422020,1451354,1489024,1507616,1535382,1568215,1592460,1612869,1632641,1650088,1660871,1679705,1703396,1723496,1742363,1762870,1781203,1793311,1812384,1830263,1848223,1867935,1890296,1909880,1920992,1940723
Grenada,6299,6306,6338,6787,7101,7377,7377,7669,7699,7699,8601,8601,8966,9259,9535,9701,9718,10427,10427,10960,10960,11190,11344,11344,11816,11816,12090,12246,12311,12311,12336
Guatemala,628589,628695,628804,629811,631730,631730,635613,637663,638705,639048,641164,643447,646319,648947,651774,653171,653555,656456,659655,662828,666017,669012,669830,670489,673559,677214,681308,685542,688326,689609,690290
Guinea,32448,32671,32867,33045,33428,33700,34139,34139,34673,34673,34852,35033,35202,35202,35202,35202,35602,35602,35719,35719,35719,35857,35857,35908,35951,36013,36013,36013,36013,36013,36166
Guinea-Bissau,6484,6484,6499,6514,6531,6612,6638,6694,6694,6713,6794,6808,6898,6962,7004,7004,7034,7140,7140,7222,7284,7284,7284,7293,7484,7508,7519,7544,7576,7586,7586
Guyana,39779,40060,40154,40639,41418,42385,43229,44245,44902,45340,46005,47005,48191,49056,50121,51203,52095,53178,53921,54736,55628,56585,57227,57400,57772,58196,58604,58604,59450,59803,59889
Haiti,26213,26255,26259,26259,26304,26406,26509,26654,26807,27000,27082,27318,27490,27619,27819,27973,28030,28117,28250,28352,28471,28561,28709,28743,28875,29053,29123,29217,29323,29444,29477
Holy See,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,29,29,29,29,29,29,29,29,29,29,29,29,29,29
Honduras,379402,379402,379402,379402,379402,379402,379402,381254,381254,381254,382440,382440,382440,382440,382440,382440,385362,385964,385964,387515,387515,387515,387515,387515,391145,391145,391874,391874,391874,391874,391874
Hungary,1256415,1256415,1262280,1264709,1269979,1276433,1282957,1282957,1282957,1297612,1300994,1308877,1318093,1327014,1327014,1327014,1348233,1355084,1369974,1385500,1401457,1401457,1401457,1441385,1451102,1471276,1490489,1508358,1508358,1508358,1553405
