Country_Region,2022/05/01,2022/05/02,2022/05/03,2022/05/04,2022/05/05,2022/05/06,2022/05/07,2022/05/08,2022/05/09,2022/05/10,2022/05/11,2022/05/12,2022/05/13,2022/05/14,2022/05/15,2022/05/16,2022/05/17,2022/05/18,2022/05/19,2022/05/20,2022/05/21,2022/05/22,2022/05/23,2022/05/24,2022/05/25,2022/05/26,2022/05/27,2022/05/28,2022/05/29,2022/05/30,2022/05/31
Haiti,30704,30705,30707,30707,30707,30707,30712,30713,30713,30713,30725,30730,30734,30740,30746,30754,30760,30771,30781,30781,30789,30789,30803,30805,30818,30818,30818,30818,30818,30818,30892
Holy See,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
Honduras,423179,423718,423775,423794,423879,423879,423879,423879,424365,424376,424390,424390,424447,424447,424447,424447,424771,424771,424771,424771,424771,425087,424859,424859,425087,425113,425113,425113,425113,425113,425371
Hungary,1901017,1903200,1903200,1903200,1903200,1903200,1903200,1903200,1903200,1903200,1909948,1909948,1909948,1909948,1909948,1909948,1909948,1914697,1914697,1914697,1914697,1917777,1914697,1914697,1917777,1917777,1917777,1917777,1917777,1917777,1917777
Iceland,185579,185579,185795,185795,185795,185961,185961,185961,185961,186179,186179,186179,186545,186545,186545,186545,186969,186969,186969,187262,187262,187664,187262,187664,187664,187664,187949,187949,187949,187949,188291
India,43082345,43084913,43088118,43091393,43094938,43098743,43102194,43105401,43107689,43110586,43113413,43116254,43119112,43121599,43123801,43125370,43127199,43129563,43131822,43134145,43136371,43144820,43140068,43142192,43144820,43147530,43150215,43153043,43155749,43158087,43160832
Indonesia,6047040,6047208,6047315,6047491,6047741,6047986,6048204,6048431,6048685,6048685,6048685,6049876,6050211,6050519,6050776,6050958,6051205,6051532,6051850,6052100,6052363,6053424,6052764,6053109,6053424,6053670,6053894,6054173,6054415,6054633,6054973
Iran,7222308,7223005,7223576,7223828,7224056,7224431,7224701,7225189,7225759,7226219,7226672,7227043,7227428,7227683,7228051,7228434,7228786,7229074,7229354,7229582,7229741,7230882,7230321,7230589,7230882,7231099,7231284,7231387,7231562,7231802,7232034
Iraq,2325175,2325247,2325287,2325352,2325397,2325467,2325522,2325614,2325740,2325871,2326033,2326162,2326288,2326356,2326458,2326577,2326726,2326852,2326965,2327114,2327192,2327557,2327387,2327486,2327557,2327665,2327777,2327837,2327908,2328019,2328154
Ireland,1517112,1517112,1519296,1520327,1521474,1522363,1522363,1522363,1524555,1527328,1529627,1532771,1535451,1535451,1535451,1535451,1535451,1551835,1551835,1551835,1551835,1561632,1551835,1551835,1561632,1561632,1561632,1561632,1561632,1561632,1561632
Israel,4077856,4080480,4082954,4085411,4086659,4087878,4090373,4092047,4095425,4097837,4100092,4102024,4104278,4105361,4108393,4110592,4112831,4114959,4117071,4118975,4120614,4127993,4125039,4127018,4127993,4130871,4130871,4133701,4134914,4137293,4138515
Italy,16504791,16523859,16586268,16633911,16682626,16726990,16767773,16798998,16816419,16872618,16915301,16954784,16993813,17030147,17057873,17071649,17116550,17147477,17178199,17205017,17229263,17312432,17257573,17288287,17312432,17333299,17355119,17373741,17388877,17396723,17421410
Jamaica,129978,130299,130388,130473,130596,130787,130787,131161,131327,131327,131544,131704,131980,131980,131980,132909,133103,133250,133538,133904,133904,135462,134660,135331,135462,135663,135663,135663,136313,137076,137266
Japan,7910179,7929437,7959950,7986412,8007124,8028779,8068007,8110413,8138766,8180756,8227154,8268802,8308372,8347702,8382913,8404699,8441494,8483562,8523132,8560475,8596323,8713945,8646671,8679163,8714263,8745175,8772867,8798523,8819323,8831651,8853455
Jordan,1695745,1695745,1695745,1695970,1695970,1695970,1695970,1695970,1695970,1696054,1696054,1696054,1696054,1696054,1696054,1696359,1696359,1696359,1696359,1696359,1696359,1696668,1696668,1696668,1696668,1696668,1696668,1696668,1696668,1696937,1696937
Kazakhstan,1394523,1394530,1394536,1394545,1394591,1394613,1394613,1394632,1394632,1394644,1394649,1394663,1394683,1394696,1394710,1394715,1394721,1394737,1394752,1394778,1394786,1394823,1394803,1394808,1394823,1394834,1394849,1394867,1394867,1394867,1394867
Kenya,323786,323792,323796,323806,323818,323846,323868,323881,323900,323921,323939,323952,323975,324011,324026,324046,324071,324097,324129,324175,324222,324406,324274,324349,324406,324469,324558,324686,324768,324859,324976
Kiribati,3084,3084,3084,3089,3089,3089,3089,3093,3093,3093,3093,3093,3093,3093,3093,3093,3094,3098,3098,3098,3098,3098,3098,3098,3098,3098,3098,3098,3098,3098,3098
"Korea, North",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Korea, South",17295733,17346753,17395791,17438068,17464782,17504334,17544398,17564999,17614895,17658794,17694677,17727086,17756627,17782061,17795357,17830429,17861744,17889849,17914957,17938399,17957697,18036720,17993985,18017923,18036720,18053287,18067669,18080323,18086462,18103638,18119415
Kosovo,228083,228094,228098,228101,228117,228128,228138,228144,228146,228150,228164,228186,228207,228218,228234,228241,228245,228261,228273,228287,228299,228329,228309,228321,228329,228338,228342,228348,228348,228353,228359
Kuwait,631409,631409,631409,631409,631409,631701,631701,631898,631898,631898,632074,632074,632074,632074,632074,632074,632074,632474,632474,632474,632474,632781,632781,632781,632781,632781,632781,632781,632781,633225,633225
Kyrgyzstan,200993,200993,200993,200993,200993,200993,200993,200993,200993,200993,200993,200993,200993,200993,200993,200993,200993,200993,200993,200993,200993,200993,200993,200993,200993,200993,200993,200993,200993,200993,200993
Laos,207469,207714,207867,208111,208368,208368,208535,208535,208759,208939,209028,209243,209321,209386,209386,209434,209502,209553,209607,209698,209699,209861,209744,209823,209861,209888,209922,209950,209965,209975,209989
Latvia,822013,822726,823110,823110,823732,824046,824046,824046,824635,824926,825272,825470,825699,825699,825699,826038,826342,826506,826735,826856,826856,827699,827201,827437,827699,827889,828077,828077,828077,828406,828614
Lebanon,1097044,1097044,1097118,1097118,1097268,1097390,1097492,1097539,1097575,1097643,1097720,1097800,1097820,1097956,1098034,1098074,1098124,1098124,1098313,1098432,1098503,1098791,1098640,1098710,1098791,1098899,1098971,1099065,1099148,1099148,1099199
Lesotho,33015,33134,33134,33134,33151,33151,33151,33151,33151,33151,33151,33151,33151,33151,33151,33151,33151,33305,33305,33305,33305,33358,33305,33305,33358,33358,33358,33358,33358,33358,33358
