Country_Region,2022/06/01,2022/06/02,2022/06/03,2022/06/04,2022/06/05,2022/06/06,2022/06/07,2022/06/08,2022/06/09,2022/06/10,2022/06/11,2022/06/12,2022/06/13,2022/06/14,2022/06/15,2022/06/16,2022/06/17,2022/06/18,2022/06/19,2022/06/20,2022/06/21,2022/06/22,2022/06/23,2022/06/24,2022/06/25,2022/06/26,2022/06/27,2022/06/28,2022/06/29,2022/06/30
Brunei,148970,149337,149679,150058,150402,150781,151161,151560,151950,152320,152712,153093,153611,154133,154133,155274,155793,156452,156452,157772,158524,158527,158527,159591,159591,159591,161538,162311,163055,163900
Bulgaria,1165356,1165538,1165727,1165807,1165856,1166148,1166316,1166476,1166589,1166777,1166859,1166901,1167147,1167314,1167466,1167706,1167914,1168035,1168127,1168508,1168818,1169154,1169474,1169728,1169968,1170091,1170686,1171235,1171767,1172239
Burkina Faso,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,21044,21044,21044,21044,21044,21044,21044,21044,21044,21044,21044,21044,21044,21044,21044
Burma,613348,613355,613370,613381,613382,613387,613397,613405,613415,613427,613440,613443,613452,613460,613464,613467,613474,613485,613490,613494,613508,613521,613532,613538,613553,613556,613568,613577,613583,613596
Burundi,42034,42084,42129,42129,42129,42248,42248,42248,42248,42248,42248,42248,42297,42330,42330,42385,42398,42398,42398,42472,42472,42472,42542,42542,42542,42542,42542,42542,42542,42658
Cabo Verde,56384,56425,56475,56532,56556,56590,56635,56738,56738,56936,57040,57096,57096,57262,57464,57643,57808,58029,58176,58271,58467,58770,58995,59265,59265,59416,59416,59533,60227,60542
Cambodia,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136272,136279
Cameroon,119947,119947,119947,119947,119947,119947,119947,119947,119947,119947,119947,119947,119947,119947,119947,119947,119947,119947,119947,119947,119947,119947,120002,120002,120002,120002,120002,120068,120068,120068
Canada,3888672,3891759,3895259,3896919,3897791,3898661,3901597,3905339,3907653,3912417,3916335,3917756,3918616,3921033,3923353,3926127,3927884,3931364,3931364,3932637,3935067,3938040,3942808,3945083,3948562,3949244,3950117,3953552,3956171,3962334
Central African Republic,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649
