Country_Region,2022/03/01,2022/03/02,2022/03/03,2022/03/04,2022/03/05,2022/03/06,2022/03/07,2022/03/08,2022/03/09,2022/03/10,2022/03/11,2022/03/12,2022/03/13,2022/03/14,2022/03/15,2022/03/16,2022/03/17,2022/03/18,2022/03/19,2022/03/20,2022/03/21,2022/03/22,2022/03/23,2022/03/24,2022/03/25,2022/03/26,2022/03/27,2022/03/28,2022/03/29,2022/03/30,2022/03/31
Austria,2692641,2720094,2761187,2793028,2825103,2856781,2884518,2911180,2945417,2996765,3047014,3096646,3140407,3178040,3212569,3252815,3316853,3368804,3419788,3462110,3499819,3531163,3568258,3623157,3664438,3701790,3734990,3760649,3781719,3807856,3842048
Azerbaijan,786502,787367,787937,788525,788958,789332,789481,789757,789883,790153,790378,790575,790767,790820,790962,791077,791077,791288,791404,791482,791511,791545,791583,791604,791654,791695,791750,791766,791814,791876,791932
Bahamas,33146,33150,33152,33169,33169,33171,33176,33180,33180,33188,33191,33194,33194,33198,33198,33206,33206,33211,33211,33221,33230,33235,33238,33242,33242,33249,33256,33257,33258,33258,33283
Bahrain,517635,519584,521613,523654,525171,527135,528834,530730,532265,533748,535065,536241,537395,538794,539988,541184,542305,543089,543835,544851,545761,546896,547951,548866,549718,550362,551342,552155,552890,553750,554469
Bangladesh,1944376,1945108,1945765,1946369,1946737,1947266,1947702,1948148,1948471,1948798,1949055,1949253,1949486,1949725,1949942,1950124,1950357,1950465,1950527,1950609,1950725,1950846,1950980,1951072,1951174,1951239,1951282,1951363,1951432,1951504,1951577
Barbados,55385,55543,55705,55863,56013,56124,56220,56376,56551,56679,56805,56922,57023,57102,57230,57348,57451,57548,57660,57733,57800,57903,58018,58128,58270,58270,58532,58634,58862,59080,59272
Belarus,921263,923432,925515,927464,929340,931002,932207,932949,934187,935684,937583,939514,941168,942334,943027,944885,946674,948416,949994,951081,951758,952254,953901,955600,957088,958492,959276,959802,960245,961389,962707
Belgium,3563841,3563841,3571579,3586292,3586292,3586292,3601627,3609122,3609122,3629671,3640052,3640052,3640052,3658084,3658084,3683784,3696059,3696059,3707561,3707561,3728945,3741614,3757776,3771233,3782085,3782085,3782085,3807447,3807447,3807447,3851048
Belize,56773,56816,56842,56876,56876,56876,56876,56952,56976,57003,57034,57034,57034,57071,57096,57113,57131,57143,57143,57143,57168,57191,57203,57212,57231,57231,57231,57253,57253,57277,57280
Benin,26567,26567,26575,26575,26575,26575,26575,26575,26575,26575,26575,26575,26575,26575,26575,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952
