Country_Region,2022/04/01,2022/04/02,2022/04/03,2022/04/04,2022/04/05,2022/04/06,2022/04/07,2022/04/08,2022/04/09,2022/04/10,2022/04/11,2022/04/12,2022/04/13,2022/04/14,2022/04/15,2022/04/16,2022/04/17,2022/04/18,2022/04/19,2022/04/20,2022/04/21,2022/04/22,2022/04/23,2022/04/24,2022/04/25,2022/04/26,2022/04/27,2022/04/28,2022/04/29,2022/04/30
Japan,6614278,6663087,6710303,6740558,6786356,6841117,6895996,6948130,7000759,7049807,7082903,7132975,7190641,7245842,7295539,7343063,7382268,7406848,7447674,7495555,7542666,7585564,7629456,7668131,7692973,7733523,7779777,7821448,7858117,7883149
Jordan,1692485,1692485,1692485,1694216,1694216,1694216,1694216,1694216,1694216,1694216,1694957,1694957,1694957,1694957,1694957,1694957,1694957,1694957,1695432,1695432,1695432,1695432,1695432,1695432,1695432,1695745,1695745,1695745,1695745,1695745
Kazakhstan,1393820,1393839,1393904,1393919,1393954,1393984,1394004,1394014,1394044,1394057,1394093,1394093,1394118,1394170,1394190,1394190,1394233,1394243,1394243,1394267,1394290,1394330,1394330,1394359,1394367,1394367,1394416,1394431,1394473,1394493
Kenya,323436,323450,323454,323468,323479,323515,323524,323524,323531,323541,323557,323583,323588,323595,323605,323609,323614,323618,323630,323646,323646,323688,323696,323709,323718,323723,323724,323745,323760,323773
Kiribati,3066,3066,3067,3067,3067,3068,3068,3069,3069,3069,3069,3069,3069,3069,3071,3071,3074,3075,3076,3076,3076,3076,3076,3076,3080,3080,3080,3080,3081,3081
"Korea, North",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, South",13639915,13874216,14001406,14267401,14553644,14778405,14983694,15169189,15333670,15424598,15635274,15830644,15830644,16104869,16212751,16305752,16353495,16471940,16583220,16674045,16755055,16830469,16895194,16929564,17009865,17086626,17086626,17194616,17237878,17275649
Kosovo,227497,227533,227533,227579,227599,227628,227655,227681,227709,227743,227757,227766,227789,227803,227825,227838,227861,227877,227880,227902,227921,227935,227953,227976,227984,227991,228004,228023,228052,228073
Kuwait,628978,628978,629525,629525,629525,629525,629912,630252,630252,630252,630252,630641,630641,630641,630641,630888,630888,630888,631058,631076,631076,631076,631294,631294,631294,631409,631409,631409,631409,631409
Kyrgyzstan,200946,200955,200968,200968,200968,200968,200968,200969,200969,200970,200970,200970,200970,200973,200980,200980,200980,200980,200982,200982,200983,200983,200983,200983,200990,200991,200991,200992,200992,200992
Laos,179563,181967,183560,184598,186870,188985,191017,192860,194541,195465,196127,197417,198318,199008,199434,199868,200190,200502,201460,202542,203545,204274,204893,205975,205975,206042,206512,206881,207196,207469
Latvia,800687,802001,802534,802887,804288,805353,806425,807385,808341,808799,808979,809917,811056,811868,812686,812877,813176,813243,813415,814400,815533,816298,816994,817316,817439,818030,818644,821602,822013,822013
Lebanon,1092509,1092807,1092995,1093267,1093551,1093850,1094096,1094314,1094503,1094672,1094803,1094911,1095099,1095099,1095406,1095518,1095613,1095685,1095811,1095959,1096099,1096227,1096320,1096406,1096462,1096530,1096648,1096763,1096854,1096955
Lesotho,32910,32910,32910,32910,32910,32910,32910,32910,32910,32910,32968,32968,32968,32968,32968,32968,32968,32968,32968,32968,32968,32968,32968,32968,32968,32968,32968,32968,33015,33015
Liberia,7400,7400,7400,7400,7400,7400,7400,7400,7400,7400,7402,7402,7402,7402,7402,7402,7402,7402,7432,7432,7432,7432,7432,7432,7432,7434,7434,7434,7434,7434
Libya,501738,501738,501738,501738,501738,501738,501738,501738,501807,501834,501834,501834,501834,501834,501834,501834,501862,501862,501862,501862,501862,501862,501862,501862,501862,501904,501904,501904,501904,501904
Liechtenstein,16429,16429,16429,16429,16429,16624,16702,16702,16702,16757,16784,16834,16865,16906,16946,16975,16981,17003,17005,17027,17049,17064,17091,17103,17105,17126,17133,17163,17171,17185
Lithuania,1113808,1116207,1117988,1118916,1121144,1123668,1125639,1127456,1129298,1130302,1131033,1132729,1134575,1136089,1137471,1138855,1139639,1140124,1140601,1141856,1143245,1144415,1145293,1145802,1146099,1147008,1148002,1148748,1149395,1149993
Luxembourg,216979,216979,216979,219390,220034,221555,222804,223666,223666,223666,225562,226339,227528,227536,229311,229311,229311,229311,230991,231669,233137,233966,233966,233966,235276,235864,236686,237248,237856,237856
MS Zaandam,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Madagascar,64009,64050,64050,64050,64050,64050,64050,64050,64050,64089,64089,64089,64089,64089,64089,64089,64121,64121,64121,64121,64121,64121,64121,64152,64152,64152,64152,64152,64152,64152
Malawi,85650,85657,85664,85664,85667,85676,85683,85694,85702,85703,85705,85707,85713,85717,85723,85727,85728,85728,85728,85735,85741,85743,85747,85747,85747,85752,85761,85767,85781,85781
Malaysia,4219395,4234087,4246467,4256469,4268486,4280591,4292585,4307529,4317706,4325818,4333557,4342559,4352611,4363024,4372697,4382402,4389025,4396165,4402234,4409202,4415101,4421443,4427067,4431073,4433551,4436912,4440383,4443318,4445897,4448004
Maldives,177000,177000,177000,177665,177665,177665,177665,177665,177665,177665,178320,178320,178320,178320,178320,178320,178320,178320,178883,178883,178883,178883,178883,178883,179171,179171,179171,179171,179171,179171
Mali,30489,30493,30495,30506,30512,30519,30526,30535,30546,30566,30578,30589,30602,30617,30633,30651,30658,30669,30678,30691,30700,30716,30727,30740,30752,30769,30785,30804,30815,30833
Malta,80198,80989,81596,82126,82845,83667,84398,85057,85620,86162,86595,87033,87441,87872,88244,88558,88558,89028,89310,89607,89919,90168,90399,90595,90773,91032,91221,91427,91605,91741
Marshall Islands,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,14,14,14,15,15,15,15,15,15,17,17,17,17,17,17
Mauritania,58670,58670,58670,58705,58706,58710,58710,58710,58710,58710,58679,58679,58679,58681,58681,58681,58681,58683,58683,58683,58683,58683,58683,58683,58685,58686,58686,58686,58687,58688
Mauritius,210343,210343,210343,210343,214860,214860,214860,214860,214860,214860,214860,214860,214860,218229,218229,218229,218229,218229,218229,220344,220344,220344,220344,220344,220344,220344,220344,220344,220344,220344
Mexico,5662073,5665376,5666215,5666921,5671144,5683288,5715504,5719829,5722596,5722933,5723214,5723862,5724611,5725075,5725476,5726668,5727668,5727668,5729270,5730560,5731635,5731635,5733428,5733785,5733925,5735115,5736579,5737811,5738769,5739680
Micronesia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,5,5,5
Moldova,513757,514014,514199,514222,514428,514650,514882,515121,515312,515445,515488,515649,515804,516004,516164,516316,516431,516444,516587,516699,516864,516986,516986,516986,516986,516986,516986,516986,516986,516986
Monaco,10790,10838,10842,10872,10943,11019,11070,11127,11152,11152,11194,11261,11299,11341,11382,11402,11406,11442,11480,11520,11545,11577,11604,11605,11632,11677,11712,11736,11762,11770
Mongolia,919315,919398,919463,919544,919625,919712,919784,919870,919937,919989,920004,920044,920089,920119,920160,920183,920206,920206,920240,920291,920332,920361,920391,920421,920436,920486,920553,920595,920671,920781
Montenegro,233179,233265,233326,233365,233453,233523,233582,233640,233692,233721,233750,233834,233908,233980,234051,234137,234218,234251,234336,234405,234472,234549,234619,234707,234760,234876,234957,235062,235151,235228
Morocco,1163359,1163472,1163526,1163561,1163656,1163726,1163806,1163888,1163962,1164030,1164052,1164135,1164189,1164259,1164296,1164345,1164381,1164411,1164467,1164507,1164567,1164614,1164670,1164700,1164717,1164774,1164825,1164865,1164907,1164953
Mozambique,225261,225264,225266,225267,225268,225272,225275,225277,225280,225293,225296,225301,225304,225314,225316,225323,225329,225332,225338,225345,225351,225352,225358,225365,225366,225367,225375,225379,225383,225384
Namibia,157646,157646,157646,157764,157776,157806,157825,157841,157858,157896,157896,157903,157914,158001,158001,158074,158074,158074,158112,158112,158112,158280,158332,158358,158379,158427,158480,158545,158649,158649
Nauru,0,0,0,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Nepal,978442,978452,978475,978507,978528,978538,978545,978556,978568,978571,978593,978616,978631,978634,978648,978654,978665,978674,978684,978693,978705,978714,978732,978743,978762,978770,978778,978793,978806,978810
